"Order Id","Product Code","External Id","Quantity","Sales U/M","UnitPrice","ListPrice","ProductName","Conversion","Vat","Discount"
"801J2000000MMvkIAG","FI607494","FI607494VNS1","100","PC","27600","30000","BÌA CÒNG ELEPHANT 100F 3 XANH DƯƠNG","1","0","8"
"801J2000000MMvkIAG","146825","146825VNS1","10","BX","19320","21000","KIM BẤM ELEPHANT NO.T-13 TITANIA","10","0","8"
"801J2000000MMvkIAG","177324","177324VNS1","720","BX","2024","2200","ELP  BÚT CHÌ ELEPHANT 2B","12","8","8"
