"externalId","productCost","productStock"
"80000131-1697443693","7906.00","0"
"8000006E-1697443676","15750.00","0"
"8000006D-1697443676","19688.00","0"
"8000006C-1697443676","37013.00","0"
"8000006B-1697443676","44100.00","0"
"8000006A-1697443676","50400.00","0"
"80000084-1697443678","2625.00","0"
"80000083-1697443678","3375.00","0"
"80000082-1697443678","4625.00","0"
"80000081-1697443678","6500.00","0"
"80000096-1697443679","11963.00","0"
"80000097-1697443679","8938.00","0"
"800000C7-1697443683","33000.00","0"
"800000C5-1697443683","33000.00","0"
"80000143-1697443694","1575.00","0"
"80000142-1697443694","1969.00","0"
"80000080-1697443678","4375.00","0"
"8000007F-1697443677","5875.00","0"
"8000007E-1697443677","7750.00","0"
"8000007D-1697443677","11250.00","0"
"8000007C-1697443677","8794.00","0"
"8000007B-1697443677","11681.00","0"
"8000007A-1697443677","16363.00","0"
"8000010E-1697443690","12500.00","0"
"800000C4-1697443683","62700.00","0"
"800000C6-1697443683","66000.00","0"
"80000043-1697443605","7875.00","0"
"8000003E-1697443605","11156.00","0"
"80000038-1697443604","8505.00","0"
"800000BF-1697443683","26775.00","0"
"800000BE-1697443683","36225.00","0"
"800000E3-1697443686","12375.00","0"
"800000E2-1697443686","12375.00","0"
"800000E1-1697443686","12375.00","0"
"800000E0-1697443686","12375.00","0"
"800000DF-1697443685","12375.00","0"
"800000DE-1697443685","12375.00","0"
"800000DD-1697443685","12375.00","0"
"800000DC-1697443685","12375.00","0"
"800000DB-1697443685","12375.00","0"
"800000DA-1697443685","12375.00","0"
"800000D9-1697443685","12375.00","0"
"800000D8-1697443685","13035.00","0"
"800000D7-1697443685","12375.00","0"
"800000D6-1697443685","12375.00","0"
"800000D5-1697443684","12375.00","0"
"800000D4-1697443684","12375.00","0"
"80000109-1697443689","12125.00","0"
"80000076-1697443677","2613.00","0"
"80000075-1697443677","1000.00","0"
"80000120-1697443691","36225.00","0"
"8000013D-1697443694","5775.00","0"
"80000134-1697443693","7875.00","0"
"80000085-1697443678","28750.00","0"
"8000011B-1697443691","9056.00","0"
"800000BC-1697443682","30398.00","0"
"800000BD-1697443682","6300.00","0"
"8000013F-1697443694","2494.00","0"
"8000013E-1697443694","3281.00","0"
"80000130-1697443692","7906.00","0"
"8000012F-1697443692","8250.00","0"
"8000004B-1697443605","7975.00","0"
"8000011C-1697443691","7906.00","0"
"800000D3-1697443684","13035.00","0"
"800000D2-1697443684","13035.00","0"
"800000D1-1697443684","13035.00","0"
"8000014C-1697443695","2310.00","0"
"8000014B-1697443695","3795.00","0"
"8000014A-1697443694","5115.00","0"
"80000149-1697443694","9075.00","0"
"80000148-1697443694","13695.00","0"
"80000029-1697443532","7745.78492","480"
"80000057-1697443606","2375.00","0"
"8000005C-1697443607","4594.00","0"
"8000005B-1697443607","5644.00","0"
"8000005A-1697443606","3938.00","0"
"8000003A-1697443604","29610.00","0"
"80000039-1697443604","38588.00","0"
"80000172-1697443697","39375.00","0"
"80000171-1697443697","70875.00","0"
"8000012B-1697443692","2475.00","0"
"8000012A-1697443692","2475.00","0"
"80000129-1697443692","2475.00","0"
"80000067-1697443607","5500.00","0"
"800000AC-1697443681","7479.24421","2880"
"800000AB-1697443681","13244.49495","5760"
"800000A9-1697443681","26488.98989","3600"
"800000A8-1697443681","40512.57279","1440"
"800000A7-1697443681","56873.4195","960"
"800000A6-1697443680","74750.00","0"
"800000A5-1697443680","103500.00","0"
"800000A1-1697443680","10128.1432","2400"
"800000A0-1697443680","19477.19846","3600"
"8000009F-1697443680","27440.45564","1320"
"8000009E-1697443680","37396.22103","1200"
"8000009D-1697443680","48875.00","0"
"8000009C-1697443680","57500.00","0"
"80000141-1697443694","2100.00","0"
"80000140-1697443694","2559.00","0"
"80000068-1697443607","5775.00","0"
"8000001B-1697443531","7081.00","0"
"8000001A-1697443531","11000.00","0"
"80000139-1697443693","5513.00","0"
"8000001C-1697443531","3685.00","0"
"800000D0-1697443684","12375.00","0"
"800000CF-1697443684","12375.00","0"
"800000CE-1697443684","12375.00","0"
"800000CD-1697443684","12375.00","0"
"8000004A-1697443605","15913.40083","1200"
"80000056-1697443606","16913.00","0"
"800000A4-1697443680","173650.00","0"
"8000011F-1697443691","1509.00","0"
"8000011E-1697443691","719.00","0"
"8000011D-1697443691","1438.00","0"
"80000133-1697443693","6825.00","0"
"8000010D-1697443690","20000.00","0"
"80000077-1697443677","8250.00","0"
"80000108-1697443689","20000.00","0"
"80000098-1697443679","19800.00","0"
"80000027-1697443532","4830.00","0"
"80000138-1697443693","13781.00","0"
"8000013C-1697443693","6694.00","0"
"80000137-1697443693","8138.00","0"
"8000013B-1697443693","4200.00","0"
"80000136-1697443693","5644.00","0"
"80000114-1697443690","62700.00","0"
"80000113-1697443690","32250.00","0"
"80000121-1697443691","9056.00","0"
"800000A3-1697443680","250125.00","0"
"8000011A-1697443691","8913.00","0"
"800000CC-1697443684","13035.00","0"
"800000CB-1697443684","13035.00","0"
"800000CA-1697443684","13035.00","0"
"800000C9-1697443683","13035.00","0"
"800000C8-1697443683","13035.00","0"
"8000010C-1697443690","4125.00","0"
"80000107-1697443689","4125.00","0"
"8000015F-1697443696","14175.00","0"
"80000175-1697443698","9450.00","0"
"8000012E-1697443692","2063.00","0"
"8000012D-1697443692","2063.00","0"
"8000012C-1697443692","2063.00","0"
"8000016C-1697443697","14175.00","0"
"80000066-1697443607","3781.00","0"
"80000065-1697443607","3438.00","0"
"80000144-1697443694","52500.00","0"
"80000145-1697443694","29400.00","0"
"80000146-1697443694","16500.00","0"
"8000009B-1697443680","7607.46732","1200"
"8000009A-1697443679","7607.46732","1200"
"80000106-1697443689","4015.00","0"
"80000105-1697443689","4015.00","0"
"80000104-1697443689","4015.00","0"
"80000103-1697443689","4015.00","0"
"80000102-1697443689","4015.00","0"
"80000101-1697443689","4015.00","0"
"80000100-1697443689","4015.00","0"
"800000FF-1697443688","31346.80133","5580"
"800000FE-1697443688","4015.00","0"
"800000FD-1697443688","4015.00","0"
"800000FC-1697443688","4015.00","0"
"800000FB-1697443688","4015.00","0"
"800000FA-1697443688","4015.00","0"
"800000F9-1697443688","4015.00","0"
"800000F8-1697443688","4015.00","0"
"800000F7-1697443688","4015.00","0"
"800000F6-1697443688","4015.00","0"
"800000F5-1697443688","4015.00","0"
"800000F4-1697443688","4015.00","0"
"800000F3-1697443687","4015.00","0"
"800000F2-1697443687","4015.00","0"
"800000F1-1697443687","4015.00","0"
"800000F0-1697443687","4015.00","0"
"800000EF-1697443687","4015.00","0"
"800000EE-1697443687","4263.00","0"
"800000ED-1697443687","4263.00","0"
"800000EC-1697443687","4263.00","0"
"800000EB-1697443687","4263.00","0"
"800000EA-1697443687","4950.00","0"
"800000E9-1697443687","4950.00","0"
"800000E8-1697443686","4950.00","0"
"800000E7-1697443686","4950.00","0"
"800000E6-1697443686","4950.00","0"
"800000E5-1697443686","4950.00","0"
"800000E4-1697443686","4950.00","0"
"8000013A-1697443693","4856.00","0"
"80000055-1697443606","2406.00","0"
"80000135-1697443693","11288.00","0"
"80000034-1697443533","11372.33144","456"
"80000033-1697443533","11372.33144","456"
"80000032-1697443533","11736.92417","216"
"80000031-1697443533","11342.0422","600"
"80000030-1697443533","11342.0422","600"
"800000A2-1697443680","353625.00","0"
"80000119-1697443691","9056.00","0"
"80000118-1697443691","8663.00","0"
"800000AA-1697443681","155250.00","0"
